index,d0,d1
1,62.227882033912465,36.496636473340914
2,37.90989805897698,30.95222276332788
3,65.09866048325785,37.79360033501871
4,64.36985046393238,34.933566282037646
5,69.16816033329815,56.7152517051436
6,32.78203287324868,60.39679255988449
7,36.81391611834988,29.989364638226107
8,61.93331309687346,36.851484812796116
9,35.1919175197836,58.80152085679583
10,38.27961496915668,32.818204927956685
11,66.72663201228715,58.562375417444855
12,36.58009712211788,33.87976903351955
13,62.86880609905347,37.638169809477404
14,35.79140561167151,34.56246686191298
15,66.07547615235671,57.59534308570437
16,62.96044089994393,38.81747969868593
17,61.387243843404576,36.87394407764077
18,35.8190761837177,59.90822842880152
19,64.93862565630116,59.00792264495976
20,66.64588614949025,57.97710719704628
21,33.63841295056045,58.53000163030811
22,35.47754430375062,33.549762279493734
23,62.278244961751625,38.11935005104169
24,36.044913781573996,30.507167070172727
25,37.0493511678651,35.36575226043351
26,36.98774404474534,61.58753413078375
27,63.446928100893274,35.95249439054169
28,35.781814658781514,59.42464500339702
29,64.53089237050153,37.136070627951995
30,63.796697173500434,58.86270609428175
31,67.03985706390813,57.43388298503123
32,64.09870500676334,39.7343081086874
33,66.2637614577543,58.877520471811295
34,35.62074263393879,56.81508424691856
35,68.58853981201537,60.75633371178992
36,68.7445839997381,60.92250162502751
37,34.906469092238694,32.20844872039743
38,38.20230391388759,34.436670845607296
39,33.34862379869446,57.24516502954066
40,69.61889491183683,55.19966833619401
41,67.96126702427864,58.87325930641964
42,36.03115583816543,59.571161513915285
43,64.46766124037094,39.362533752806485
44,64.38158357772045,39.8037244156003
45,68.98418982699513,60.39434335799888
46,69.02282397868112,55.712564647430554
47,38.489647855749354,33.950354375643656
48,64.5001642324496,39.5771414025221
49,68.38935363828205,58.67373313405551
50,37.546338726067916,57.865035669878125
51,34.87562401825562,35.20088576129638
52,36.19187556602992,33.05142599972896
53,31.81589417392388,61.13756362628192
54,63.759892906295136,39.29580769664608
55,32.06846375996247,57.4766160256695
56,64.83779783616774,58.423776685260236
57,66.86155406036414,55.79347693780437
58,36.09695082833059,33.20147341839038
59,64.38990673632361,38.11253874748945
60,67.57484183646739,58.250972744543105
